Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
05/1994,12821.613417789253,,19711.49871045392,86876.3617709675,86139.62645020637,64725.34054332874,,,18514.5044796148
06/1994,12304.236876536706,,19297.24298037889,85208.77017769284,83851.14258409844,61919.19834235453,,,18298.8120140506
07/1994,12316.604873200962,,19116.460032786887,84133.74721971164,85526.07745713418,63742.24313114755,,,18394.008761889727
08/1994,12836.31017355328,,19820.13485967504,86747.8287619667,88340.10118156458,71735.80221565731,,,18256.107668626908
09/1994,12388.229940679188,,19147.316171456405,83544.41871571058,83928.01296217272,71773.59483682415,,,18058.461933141258
10/1994,12424.473496473596,,19262.73741041567,84259.97079491657,85910.35358738065,69131.97204968944,,,17882.18810435332
11/1994,12150.00857940921,,18700.18632616777,81785.1990511987,83848.15113678505,66512.037837401,10000.0,10000.0,18353.25808106721
12/1994,12582.41501311178,,19149.21909945572,84246.46810984582,86049.38416582727,62421.077931716965,10405.099244598385,10301.931555335645,18232.979437186725
01/1995,12644.893742612509,,18376.155359883676,81266.12337183832,83630.82188141733,54639.949511269086,10164.392842717509,10034.275419662332,18319.48336424991
02/1995,12993.880712335687,,18369.127133269416,81528.84341969769,84589.4931577885,52655.84582933845,10499.145223713647,10025.372090124642,18451.24718790701
03/1995,12857.48428695583,,18464.034249731223,82118.7708814733,85075.42913806671,50931.329672861306,10216.284937797574,9878.190236522809,18615.74969412322
04/1995,12982.853312539622,,18769.49633925881,83336.13589165211,86116.39164426744,52198.03594456163,10267.996649593251,9842.269906598374,19048.70347712831
05/1995,13710.366892566946,,19269.910738871044,85328.47281298498,89237.39402061989,55824.32987608996,10650.536711029526,10229.693885574425,19884.822591467026
06/1995,13911.774039246971,,19113.356386529125,84571.50239243411,89327.0848773625,55522.30439927184,10993.703951759711,10241.4184375,19649.5737459052
07/1995,14206.113189136824,,19805.27922632881,87752.24032544371,92891.08218758012,56108.94971137266,11438.66326411275,10476.962551915438,19486.38354974938
08/1995,14673.019847872903,,19958.17380088052,88375.50408205789,92003.8699706089,56446.10546072449,12050.395098478411,10393.548324708428,19807.2976279749
09/1995,15488.442608809182,,20770.35855432997,92097.03443530512,95999.1973499528,56898.94907298756,12379.943546898226,10739.911804740672,19875.873228874767
10/1995,15193.003751486518,,20105.485991528687,89217.37093241034,94059.42574361124,53869.593361571046,11668.038761648057,10359.587129765116,20036.192130086434
11/1995,15894.22979652807,,20782.75693447557,92495.14614665232,94932.9514763424,53023.258207918494,12155.934154511076,10119.366856525432,20658.52310849745
12/1995,16456.94876457078,,21747.61778126225,96687.24930833216,99492.47126182588,56251.91600156801,12592.647755390042,10460.206406899257,20783.587243951533
01/1996,17223.68184932228,,22500.964846849707,99611.20517696098,101358.71302174898,60981.89733375655,12775.38420250754,10628.099493731155,21302.30492954967
02/1996,17483.252118797678,,22724.483415802075,100773.132381904,103798.23732174812,60357.15624900241,13158.677508379891,11150.188686352756,20791.04669061057
03/1996,17640.287714165417,,23059.58867442973,102363.81708397644,104972.38733269116,60788.451491465945,13540.76615249641,11362.792140692296,20778.35773769586
04/1996,18052.988686777917,,23824.066071428573,105642.96432969705,106633.4254713136,63757.96071428571,14267.2757480695,11574.4476994852,21208.36128981332
05/1996,18743.208585179567,,24137.99692257592,106995.484505048,108760.92453488088,64243.23404705691,14924.678016771151,12000.694664169994,21079.350357185143
06/1996,18668.803072469545,,24082.159722110024,106681.28624976898,109105.74339761668,64143.07386703287,14440.285069876409,11916.564837224334,21057.38643091132
07/1996,17572.862696743352,,22830.45350835322,101326.26425399986,106101.99955782454,58851.26749403341,13238.349002386638,11530.687782020686,20930.013419110397
08/1996,17780.882700210288,,22902.493054789124,101540.89491783836,108260.08095805989,59810.475206937335,13812.329958218374,11627.121553015377,21035.718514425545
09/1996,18944.46329573469,,23954.05419847328,106409.88365052524,111496.07051562169,60851.49217557251,14420.1869163486,11624.70195451654,21564.0466511426
10/1996,19527.520175964382,,24124.65872218234,107464.91084963172,114439.4166919883,59412.83632447953,14398.087142059509,11930.541580920475,21647.442475431188
11/1996,20733.968605105485,,25088.199023622048,112009.60295487124,118695.34392100216,59633.0211968504,14848.566160629924,12141.972885039371,22138.779255634054
12/1996,20772.9511051641,,25272.04940040241,112633.65152876382,123672.488560404,61228.55589537224,15484.569646680082,12770.834428973843,22041.97418794648
01/1997,22671.04023865503,,26394.93005952381,117069.82555107116,127380.89833442953,67183.88973214285,16305.59912202381,13353.250289351854,22735.584323321626
02/1997,23844.209246047823,,27920.45983953067,123552.63828839756,134687.22157084514,73113.5041325166,16885.11352256061,14077.247845742388,23177.517069897774
