,Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI WORLD,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond Developed Markets,FTSE World Government Bond G7,Gold spot
330,1995-08,14673.019847872903,20652.71101701978,204.202908173254,1667.8910840013264,102021.69173637634,106729.05755294162,56446.10546072449,12050.395098478411,10422.469097088131,19807.2976279749,19622.20201689489,17997.494721502437
331,1995-09,15488.442608809182,21504.87951914889,209.82081260300083,1716.7962994882942,106360.38663721168,111402.39016217546,56898.94907298756,12379.943546898226,10770.123221466012,19875.873228874767,19625.04215834972,18307.057423472408
332,1995-10,15193.003751486518,20601.42986261327,206.3144377144428,1690.085087147994,103076.72152912902,109189.96746368788,53869.593361571046,11668.038761648057,10389.15703504043,20036.192130086434,19729.00316951897,17958.905783051243
333,1995-11,15894.22979652807,21704.63402769917,212.80358070127096,1749.0893667581995,106905.84566973582,110242.06442168776,53023.258207918494,12155.934154511076,10148.46585938103,20658.52310849745,20354.26820008008,18239.94205476112
334,1995-12,16456.94876457078,22443.98756836312,219.2123705849845,1800.5534332488774,111794.24573278528,115575.90561113018,56251.91600156801,12592.647755390042,10490.88189729518,20783.587243951533,20442.618294850072,18476.249466632897
335,1996-01,17223.68184932228,23371.7924663271,224.0854301295611,1833.4463410546084,115218.61531245473,117781.93870770343,60981.89733375655,12775.38420250754,10660.06058720838,21302.30492954967,20977.521463777342,19612.142439815005
336,1996-02,17483.252118797678,23751.210494364208,225.01769933048635,1844.948690560491,116607.71844825087,120657.51885106416,60357.15624900241,13158.677508379891,11183.943141260974,20791.04669061057,20449.10722914616,19486.515371956863
337,1996-03,17640.287714165417,24329.79160233413,228.4822255866564,1875.9876177745853,118493.845542583,122064.30856473248,60788.451491465945,13540.76615249641,11398.61732812251,20778.35773769586,20407.07708025569,19265.07505678313
338,1996-04,18052.98868677792,24939.413913268705,234.06106720769364,1920.43999094272,122335.85039123984,124037.3003532614,63757.96071428571,14267.2757480695,11614.937911840412,21208.36128981332,20859.14279008396,19181.782169337475
339,1996-05,18743.208585179567,25663.6309440965,234.30299271006268,1922.445386191023,123949.1279059058,126554.18972573208,64243.23404705691,14924.678016771151,12053.855616706018,21079.350357185143,20728.1609886848,19377.25696858526
340,1996-06,18668.803072469545,25097.260425051307,235.5883931347155,1932.5111400186825,123631.86345899448,126998.10249507889,64143.07386703287,14440.285069876409,11980.409039502383,21057.38643091132,20691.722368283507,18806.063937856503
341,1996-07,17572.862696743352,23331.536157907187,226.789084761266,1864.566374157683,117472.57444857324,123545.14495384124,58851.26749403341,13238.349002386638,11599.999901352428,20930.0134191104,20524.27236167624,18680.299702198663
342,1996-08,17780.882700210288,23747.03694795285,229.5856014267491,1886.354420959204,117767.8453328223,126101.24514599978,59810.475206937335,13812.329958218374,11697.45386677178,21035.718514425545,20598.254101933464,18566.19674830212
343,1996-09,18944.46329573469,24973.379722410184,238.06353065740075,1960.5602084639795,123461.51805134537,129913.26753926628,60851.49217557251,14420.1869163486,11695.78161100509,21564.0466511426,21128.32508574663,18366.093443896505
344,1996-10,19527.520175964382,25363.89917937088,239.0162602092337,1974.601129720876,124732.52968836356,133386.33482646666,59412.83632447953,14398.087142059509,12003.85582834809,21647.442475431188,21215.4128954256,18447.531589680388
345,1996-11,20733.968605105485,26351.9126751702,251.79383073804777,2085.6064440265045,130053.65145176742,138389.31893400394,59633.0211968504,14848.566160629924,12217.7270976378,22138.779255634054,21722.831778816093,17817.277193226953
346,1996-12,20772.9511051641,26670.463057883804,248.1467940875616,2052.559233505973,130825.7568086394,144235.8759204052,61228.55589537224,15484.569646680082,12851.193226559357,22041.97418794648,21596.37645286056,18125.78889264792
347,1997-01,22671.04023865503,28128.683025746403,252.31036954592216,2077.6482577451443,136026.71047412418,148603.475750219,67183.88973214285,16305.59912202381,13438.09648313492,22735.584323321626,22365.620876617548,17407.098302078943
348,1997-02,23844.209246047823,29733.54923737144,255.7495930120494,2101.8989663037896,143610.0856774854,157171.5518541572,73113.5041325166,16885.11352256061,14167.349269260634,23177.51706989777,22866.491656098315,18854.259827773
349,1997-03,23129.89274528737,28923.514536028462,250.6342462212015,2060.68539650962,142428.46555577146,164178.61355641813,72019.34976435678,16436.091103159368,14689.735027055336,22695.89927773612,22356.56792573029,18517.301163000848
350,1997-04,24644.072164033743,29595.29078838145,258.6836110265172,2128.402896060886,147909.2808164792,164297.9230587512,72539.08831168832,16566.653450333455,14393.33125833626,23240.55728776098,22948.283785356307,18190.228018214744
351,1997-05,26064.431952580464,31648.18272144808,274.11860650079524,2260.1550055969715,156584.22336926646,170837.5961691281,74386.72331379581,18170.619839034207,14883.699637826963,23585.536961755537,23320.22397671084,18425.089978114163
352,1997-06,27538.11692278689,33305.18833960986,288.145633708618,2373.246702611106,166266.5155175776,181447.99088405803,79248.1377388535,19537.860744869075,15298.561622434538,24161.374669455738,23947.5303589426,18036.36409540988
