Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
08/1992,,,60089.228159039856,,12704.204986110122,57222.52105247568,,30908.605057340268,13748.776492876032,9169.25525665484,
09/1992,,,60460.60367143444,,12886.939833843464,57988.96907079799,,31731.274420638383,14481.33164936654,9491.321882692582,
10/1992,,,58581.55006562106,,13094.69039016244,58745.71348590757,,34819.055305905575,15305.235426451434,9920.291927926208,
11/1992,,,62388.92605191992,,14184.781931413783,63694.45082345413,,36700.48912973148,15599.113944034416,10930.112146862435,
12/1992,,,63778.89559549736,,14309.69796314258,64147.67490780602,,37754.88433559651,16020.681217192248,11057.097711728504,
01/1993,,,65133.74157914388,,14640.787490729292,65599.61932989054,,38678.38220024722,16220.803567904646,11367.305059451082,
02/1993,,,67520.35010337614,,15358.471875000005,68806.64596649997,,40306.8375,17023.90772388207,11809.294458555614,
03/1993,,,71343.29392575586,,16320.996452215244,73133.88249791604,,41844.76530300458,16876.248174606306,12117.829643162962,
04/1993,,,70435.81336003737,,16481.739034188737,73900.18254079277,,41350.5787324752,16846.370919998422,11422.597380087656,
05/1993,,,71369.11819576763,,16910.515640667385,75770.08643780077,,42607.48547711023,17058.165923353197,11757.08239924232,
06/1993,,,72378.8229585747,,17291.088377601085,77307.02050765016,,45151.18888512942,18247.158306034653,12135.607846862778,
07/1993,,,75707.55934628868,,18398.230914381445,82225.0945110299,,48309.35912177056,19256.808225125314,12599.43598874043,
08/1993,,,82980.21565546282,,19417.903100844072,86630.80170810358,,52788.82278098624,18990.06393811422,13177.410406297258,
09/1993,,,79433.5893204196,,18333.239570002563,81629.71661846779,,52544.058919887386,18757.12396889924,12556.483718152682,
10/1993,,,83714.13222506078,,19097.76414328873,84843.95986388587,,57930.634596460935,19132.227572325057,12966.66817947186,
11/1993,,,84106.84797888553,,18591.24064882113,82173.80111756884,,62118.89202269101,19351.76816513399,13187.99310195585,
12/1993,,,90381.36168465104,,19588.08257287144,86136.48090141875,,72354.82533888545,19595.167146860324,13341.53504260749,
01/1994,,,96272.04916057148,,21170.337446120688,93042.30076492437,,74670.19040948278,19759.62031811185,13982.159821309691,
02/1994,,,92505.45535715872,,20784.073316039005,91464.5108432438,,73059.72934967352,19310.20839089079,13550.3438992548,
03/1994,,,88028.86984524073,,19439.825282523,85691.7686082059,,65074.81624178713,18916.96925445001,12691.652797918045,
